#Run	L2	H1	dx	dt 
12	3.259389e-01	3.187495e+00	0.1250000	0.0025			
13	3.071740e-02	8.684247e-01	0.0625000	0.0025	
1	2.743887e-03	7.470509e-02	0.0312500	0.0025
2	1.661088e-03	2.295860e-02	0.0156250	0.0025
3	1.963260e-03	2.628943e-02	0.0078125	0.0025


3       1.963260e-03    2.628943e-02    0.0078125       0.0025
5	4.051339e-03	5.497273e-02	0.0078125	0.0050
6	8.220679e-03	1.119549e-01	0.0078125	0.0100
7	1.651932e-02	2.235645e-01	0.0078125	0.0200
8	3.296305e-02	4.383159e-01	0.0078125	0.0400
9	6.530872e-02	8.426777e-01	0.0078125	0.0800
47	1.281044e-01	1.597436e+00	0.0078125	0.1600	
